mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,650,18,mae,standard,0.11787408097517812,5,0.004525132660008545,pre0_mod022_post0,tau_Zero_Flow_Days_sum
1,650,18,rmse,standard,0.15552927913740872,5,0.006087522338704494,pre0_mod022_post0,tau_Zero_Flow_Days_sum
1,650,18,rsq,standard,0.14551283286365274,5,0.05233081112272842,pre0_mod022_post0,tau_Zero_Flow_Days_sum
1,650,21,mae,standard,0.11796137581138276,5,0.0048148462910136925,pre0_mod023_post0,tau_Zero_Flow_Days_sum
1,650,21,rmse,standard,0.15599471401044745,5,0.006328005188626087,pre0_mod023_post0,tau_Zero_Flow_Days_sum
1,650,21,rsq,standard,0.14332375827099167,5,0.05618088841148899,pre0_mod023_post0,tau_Zero_Flow_Days_sum
1,650,25,mae,standard,0.11791916228415604,5,0.004657436121677193,pre0_mod024_post0,tau_Zero_Flow_Days_sum
1,650,25,rmse,standard,0.15577294506371248,5,0.0063891951992393736,pre0_mod024_post0,tau_Zero_Flow_Days_sum
1,650,25,rsq,standard,0.1506460467236712,5,0.05594820026227746,pre0_mod024_post0,tau_Zero_Flow_Days_sum
1,850,3,mae,standard,0.11679210572618309,5,0.004537852890826718,pre0_mod025_post0,tau_Zero_Flow_Days_sum
1,850,3,rmse,standard,0.15563340597144393,5,0.005773203367768925,pre0_mod025_post0,tau_Zero_Flow_Days_sum
1,850,3,rsq,standard,0.13422373212993946,5,0.038542417928566636,pre0_mod025_post0,tau_Zero_Flow_Days_sum
1,850,6,mae,standard,0.11721029113032823,5,0.004853113690670487,pre0_mod026_post0,tau_Zero_Flow_Days_sum
1,850,6,rmse,standard,0.15594000563775223,5,0.005836415404824991,pre0_mod026_post0,tau_Zero_Flow_Days_sum
1,850,6,rsq,standard,0.131461747016338,5,0.04535399819281889,pre0_mod026_post0,tau_Zero_Flow_Days_sum
1,850,9,mae,standard,0.11710308407898584,5,0.004656191170698362,pre0_mod027_post0,tau_Zero_Flow_Days_sum
1,850,9,rmse,standard,0.15556421118046124,5,0.006029951712869493,pre0_mod027_post0,tau_Zero_Flow_Days_sum
1,850,9,rsq,standard,0.14344001364073397,5,0.05354589689507123,pre0_mod027_post0,tau_Zero_Flow_Days_sum
1,850,12,mae,standard,0.11677000793352155,5,0.004618472979408582,pre0_mod028_post0,tau_Zero_Flow_Days_sum
1,850,12,rmse,standard,0.15549757871709707,5,0.00588479013324576,pre0_mod028_post0,tau_Zero_Flow_Days_sum
1,850,12,rsq,standard,0.14371150494327353,5,0.05083888357023825,pre0_mod028_post0,tau_Zero_Flow_Days_sum
1,850,15,mae,standard,0.11731902394097447,5,0.0044855780778665566,pre0_mod029_post0,tau_Zero_Flow_Days_sum
1,850,15,rmse,standard,0.15609268471565865,5,0.006079086609180299,pre0_mod029_post0,tau_Zero_Flow_Days_sum
1,850,15,rsq,standard,0.13804016918010656,5,0.05116155390636087,pre0_mod029_post0,tau_Zero_Flow_Days_sum
