mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
8,1650,21,rsq,standard,0.6069862449329103,5,0.019531886084395808,pre0_mod447_post0,Zero_Flow_Days_sum,Dry_sub_humid
8,1650,25,mae,standard,43.19723946286935,5,0.6822388500181216,pre0_mod448_post0,Zero_Flow_Days_sum,Dry_sub_humid
8,1650,25,rmse,standard,66.77788360386432,5,1.242363941911422,pre0_mod448_post0,Zero_Flow_Days_sum,Dry_sub_humid
8,1650,25,rsq,standard,0.6020747589039802,5,0.019801400634085572,pre0_mod448_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,3,mae,standard,40.96186958623306,5,0.9392072207965944,pre0_mod449_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,3,rmse,standard,64.52111562693548,5,1.6527749351603473,pre0_mod449_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,3,rsq,standard,0.6252262489557463,5,0.019843616443592567,pre0_mod449_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,6,mae,standard,41.35082859604059,5,0.8203717244943733,pre0_mod450_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,6,rmse,standard,64.91534072915128,5,1.4390138352706243,pre0_mod450_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,6,rsq,standard,0.6215829413311964,5,0.017779443676780728,pre0_mod450_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,9,mae,standard,41.69642155812956,5,0.777947431766783,pre0_mod451_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,9,rmse,standard,64.91350338454454,5,1.3858836101500125,pre0_mod451_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,9,rsq,standard,0.6225235862519114,5,0.018953330011092853,pre0_mod451_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,12,mae,standard,41.90815881907882,5,0.7700079375453412,pre0_mod452_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,12,rmse,standard,65.46900969296446,5,1.4411442955595333,pre0_mod452_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,12,rsq,standard,0.6154810106152869,5,0.017860643468160447,pre0_mod452_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,15,mae,standard,42.006103700921614,5,0.5788243635905068,pre0_mod453_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,15,rmse,standard,65.3240467237468,5,1.2820976456823885,pre0_mod453_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,15,rsq,standard,0.618460637367584,5,0.018190275407852972,pre0_mod453_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,18,mae,standard,41.924491302397726,5,0.6862635852438808,pre0_mod454_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,18,rmse,standard,65.43021717495303,5,1.371351709753306,pre0_mod454_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,18,rsq,standard,0.6172029937035796,5,0.019177483772773153,pre0_mod454_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,21,mae,standard,42.47594203477288,5,0.690083863734495,pre0_mod455_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,21,rmse,standard,66.06110395755083,5,1.1810965857012636,pre0_mod455_post0,Zero_Flow_Days_sum,Dry_sub_humid
10,250,21,rsq,standard,0.6095158674786266,5,0.019510186012690958,pre0_mod455_post0,Zero_Flow_Days_sum,Dry_sub_humid
