metric,region,n,OOBmse,OOBr2
hydro_doy,Semi_arid,12,6879.234328197375,0.1073313754577011
hydro_doy,Semi_arid,14,6822.074138379072,0.11535009399875984
hydro_doy,Semi_arid,16,6893.936264883977,0.10603139968848097
hydro_doy,Semi_arid,18,6919.956070041728,0.10265729121060918
hydro_doy,Semi_arid,20,6982.45397143629,0.09455289928045774
hydro_doy,Semi_arid,22,6986.602328709693,0.09401496260642916
hydro_doy,Semi_arid,24,6998.9361850612495,0.09241557440854165
hydro_doy,Semi_arid,26,7026.894426887495,0.08879009988248732
hydro_doy,Semi_arid,28,7007.305770937792,0.0913302514981238
hydro_doy,Semi_arid,30,6980.187694030493,0.0948467779533283
hydro_doy,Semi_arid,32,6922.48933455115,0.10232879108518111
hydro_doy,Semi_arid,34,6914.664075207532,0.10334352865653396
hydro_doy,Semi_arid,36,6913.133501790806,0.10354200519046919
hydro_doy,Semi_arid,38,6967.93669826427,0.09643542123588078
hydro_doy,Semi_arid,40,6931.933768696822,0.10110408762847134
hydro_doy,Semi_arid,42,6929.762818589548,0.1013856047696482
hydro_doy,Semi_arid,44,6944.003285084511,0.09953897761628572
hydro_doy,Semi_arid,46,6920.529137155195,0.1025829789475382
hydro_doy,Semi_arid,48,6952.957204004911,0.0983778815374976
hydro_doy,Semi_arid,50,6954.1671723102045,0.09822097935117846
mean_dry_down_days,National,10,870.2206118646146,0.31519254332851443
mean_dry_down_days,National,12,828.4597489193665,0.348055647180611
mean_dry_down_days,National,14,828.272953485346,0.34820264313123017
mean_dry_down_days,National,16,780.3776092042216,0.3858931878694013
mean_dry_down_days,National,18,775.3767690793248,0.389828526288717
mean_dry_down_days,National,20,780.5078068268566,0.3857907307434659
mean_dry_down_days,National,22,786.5121316356729,0.3810657146437615
mean_dry_down_days,National,24,767.3317215748036,0.3961594594397576
mean_dry_down_days,National,26,674.80622428554625,0.46897105412280604
mean_dry_down_days,National,28,676.9656835126208,0.4672716990846508
mean_dry_down_days,National,30,667.9587865243263,0.47435954570074035
mean_dry_down_days,National,32,671.6526066256732,0.471452747683643
mean_dry_down_days,National,34,677.0599454578418,0.46719752101751755
mean_dry_down_days,National,36,676.5902984045882,0.4675671029369606
mean_dry_down_days,National,38,665.8567084814458,0.4760137454503711
mean_dry_down_days,National,40,671.2643810851633,0.4717582561275786
mean_dry_down_days,National,42,670.6462732099513,0.4722446671321002
mean_dry_down_days,National,44,671.7210724449587,0.4710231592917684
mean_dry_down_days,National,46,670.6209895590878,0.4718894688261218
mean_dry_down_days,National,48,667.8574462665713,0.47406574475373997
mean_dry_down_days,National,50,669.4531826675554,0.47280911066167064
mean_dry_down_days,Humid,10,710.5155021665778,0.25077047994885804
mean_dry_down_days,Humid,12,681.7947404203537,0.28105615629653846
mean_dry_down_days,Humid,14,667.8924963803227,0.29571589503268836
mean_dry_down_days,Humid,16,676.7465224826913,0.28637943761976803
mean_dry_down_days,Humid,18,689.5245994244145,0.27290511872731504
mean_dry_down_days,Humid,20,673.795297251042,0.28949146692402516
mean_dry_down_days,Humid,22,657.0233953948452,0.3071772231668455
mean_dry_down_days,Humid,24,651.6671269746818,0.3128253397884634
mean_dry_down_days,Humid,26,662.5694924474349,0.3013289346774347
mean_dry_down_days,Humid,28,651.7665033009429,0.31327541589493946
mean_dry_down_days,Humid,30,655.3549368112792,0.3094945135357451
mean_dry_down_days,Humid,32,659.7062180224858,0.30490984745524496
mean_dry_down_days,Humid,34,652.4280891546372,0.3125783452907783
mean_dry_down_days,Humid,36,656.4503719614611,0.30834032373907283
mean_dry_down_days,Humid,38,656.5580640542798,0.30822685548429485
mean_dry_down_days,Humid,40,656.6977029626071,0.30807972691791363
mean_dry_down_days,Humid,42,650.5561880565597,0.3145506474826716
mean_dry_down_days,Humid,44,653.1175518868623,0.3118519026067108
mean_dry_down_days,Humid,46,642.2793306267441,0.3232714415820923
mean_dry_down_days,Humid,48,644.9089906980903,0.32050073733496254
mean_dry_down_days,Humid,50,641.468033054803,0.324126253826746
mean_dry_down_days,Dry_sub_humid,10,755.7923843656392,0.334234683027671
mean_dry_down_days,Dry_sub_humid,12,752.6876036711203,0.33881991786712307
mean_dry_down_days,Dry_sub_humid,14,760.4594789115234,0.33199290346604426
mean_dry_down_days,Dry_sub_humid,16,764.517861303458,0.32842791635832735
mean_dry_down_days,Dry_sub_humid,18,698.1665790093741,0.3867125832810374
mean_dry_down_days,Dry_sub_humid,20,687.2526997735522,0.39564627377290373
mean_dry_down_days,Dry_sub_humid,22,696.7826664223352,0.3872658471017394
mean_dry_down_days,Dry_sub_humid,24,690.2277770144079,0.3930300614001957
mean_dry_down_days,Dry_sub_humid,26,689.9087898408775,0.3933105711559307
mean_dry_down_days,Dry_sub_humid,28,704.2961593912604,0.3806586595646847
mean_dry_down_days,Dry_sub_humid,30,702.0262201666956,0.38265479028796423
